Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
Con il termine “filtro” intendiamo,"parte dell’opera da costruzione delimitata da prodotti o elementi costruttivi idonei a garantire, sotto l’azione del fuoco e per un dato intervallo di tempo, la resistenza al fuoco (EI, …)","Un compartimento antincendio nel quale, per basso carico di incendio e limitata presenza di sorgenti di innesco, la probabilità di avvio e sviluppo dell’incendio è resa trascurabile",spazio “cielo libero” avente caratteristiche tali da contrastare temporaneamente la propagazione dell’incendio tra le eventuali opere da costruzione o strutture che lo delimitano,"Un compartimento antincendio nel quale, per basso carico di incendio e limitata presenza di sorgenti di innesco, la probabilità di avvio e sviluppo dell’incendio è resa trascurabile"
Con il termine “compartimento a prova di fumo” intendiamo,un compartimento separato dagli altri compartimenti adiacenti mediante strutture EI adeguate senza alcuna comunicazione ,un compartimento realizzato in modo da limitare l’ingresso di fumo generato da un incendio che si sviluppa in compartimenti comunicanti,Un compartimento dove è vietato fumare,un compartimento realizzato in modo da limitare l’ingresso di fumo generato da un incendio che si sviluppa in compartimenti comunicanti
Con il termine “filtro a prova di fumo” intendiamo,"Un compartimento antincendio realizzato con i requisiti di “filtro”, cioè dove è improbabile l’innesco di un incendio, e anche con i requisiti di un compartimento a “prova di fumo”, cioè nel quale è impedito anche l’ingresso di effluenti dell’incendio","Un disimpegno realizzato con strutture e porte REI\EI mantenuto in sovrappressione, ovvero dotato di camino di smaltimento dei fumi o aerato direttamente verso l’esterno","Un compartimento antincendio avente anche i requisiti di compartimento a “prova di fumo”, cioè nel quale è impedito l’ingresso di effluenti dell’incendio","Un compartimento antincendio realizzato con i requisiti di “filtro”, cioè dove è improbabile l’innesco di un incendio, e anche con i requisiti di un compartimento a “prova di fumo”, cioè nel quale è impedito anche l’ingresso di effluenti dell’incendio"
La finalità della Compartimentazione è quella di,"limitare la propagazione dell’incendio e dei suoi effetti verso altre attività, afferenti ad altro responsabile dell’attività o di diversa tipologia, e all’interno della stessa attività",limitare la propagazione dell’incendio e dei suoi effetti solo all’interno della stessa attività,"limitare la propagazione dell’incendio e dei suoi effetti solo verso altre attività, afferenti ad altro responsabile dell’attività o di diversa tipologia","limitare la propagazione dell’incendio e dei suoi effetti verso altre attività, afferenti ad altro responsabile dell’attività o di diversa tipologia, e all’interno della stessa attività"
La compartimentazione è realizzata mediante,"Elementi strutturali e non aventi la capacità di conservare, sotto l’azione del fuoco, i requisiti di resistenza, tenuta ai fumi e isolamento termico per un determinato intervallo di tempo ","interposizione di distanze di separazione, tra opere da costruzione o altri bersagli combustibili, anche ubicati in spazio a cielo libero",Entrambe le modalità indicate negli altri due punti,Entrambe le modalità indicate negli altri due punti
Al fine di realizzare una compartimentazione efficace è fondamentale che le chiusure d’ambito orizzontali e verticali costituiscano una barriera continua ed uniforme contro la propagazione degli effetti dell’incendio,"No, eventuali discontinuità, grandi o piccole, (attraversamenti di impianti tecnologici o di processo, canalizzazioni, ecc) non invalidano le proprietà di compartimentazione delle chiusure di ambito ","La continuità delle chiusure di ambito orizzontali e verticali sono fondamentali per garantire una effettiva ed efficace compartimentazione; pertanto, la loro realizzazione deve essere particolarmente accurata (giunzioni, serrande tagliafuoco, ecc)","Si, ma solo in caso di attività utilizzate prevalentemente da persone classificabili di tipo C, D ed E ai fini del Rvita","La continuità delle chiusure di ambito orizzontali e verticali sono fondamentali per garantire una effettiva ed efficace compartimentazione; pertanto, la loro realizzazione deve essere particolarmente accurata (giunzioni, serrande tagliafuoco, ecc)"
"Fra diverse attività o ambiti della stessa attività, separate da spazio a cielo libero, è possibile la propagazione di un incendio","No, mai; l’interposizione di uno spazio superiormente libero (cortile, strada, ecc) fra due edifici non consente la propagazione di un incendio in nessun caso","Si, pertanto, al fine di impedire la propagazione di un incendio all’esterno di un’attività è sempre necessario verificare che sia esistente una adeguata distanza di separazione fra ambiti della stessa attività o verso altre attività ","Si, ma solo in caso di attività non classificabili a basso rischio di incendio","Si, pertanto, al fine di impedire la propagazione di un incendio all’esterno di un’attività è sempre necessario verificare che sia esistente una adeguata distanza di separazione fra ambiti della stessa attività o verso altre attività "
La porta “taglia fuoco” (porta EI) è,"L’elemento di chiusura di un varco di comunicazione tra compartimenti adiacenti, in grado di limitare per un determinato intervallo di tempo la propagazione degli effetti di un incendio ","L’elemento di chiusura di un varco di comunicazione tra scala protetta e piani serviti, in grado di limitare per un determinato intervallo di tempo la propagazione degli effetti di un incendio","L’elemento di chiusura di un varco di comunicazione tra la scala a prova di fumo e i piani serviti, in grado di limitare per un determinato intervallo di tempo la propagazione degli effetti di un incendio","L’elemento di chiusura di un varco di comunicazione tra compartimenti adiacenti, in grado di limitare per un determinato intervallo di tempo la propagazione degli effetti di un incendio "
"La porta “taglia fuoco” (porta EI), elemento di chiusura di un varco di comunicazione tra compartimenti adiacenti, in grado di limitare per un determinato intervallo di tempo la propagazione degli effetti di un incendio","deve essere adeguatamente segnalata su entrambi i lati e oggetto di specifica attività di sorveglianza, controllo e manutenzione","non deve essere segnalata né oggetto di specifica attività di sorveglianza, controllo e manutenzione",deve essere sempre colorata di “rosso”,"deve essere adeguatamente segnalata su entrambi i lati e oggetto di specifica attività di sorveglianza, controllo e manutenzione"
"Qualunque spazio a cielo libero (es: cortile, cavedio, …) è qualificabile come “spazio scoperto” ai fini del contrasto temporaneo alla propagazione dell’incendio tre le opere da costruzione o strutture che lo delimitano","Si, è sufficiente che un’area sia a “cielo libero”, a prescindere dalla superficie e dalle distanze fra le strutture che la delimitano, per contrastare la propagazione dell’incendio tra le opere","No, un’area a “cielo libero” per potere essere qualificata come “spazio scoperto” deve avere una superficie determinata e deve essere garantita una adeguata distanza fra gli eventuali edifici che la delimitano","No, nessun spazio a “cielo libero” può essere qualificato come “spazio scoperto” ai fini del contrasto alla propagazione di un incendio fra edifici che lo delimitano","No, un’area a “cielo libero” per potere essere qualificata come “spazio scoperto” deve avere una superficie determinata e deve essere garantita una adeguata distanza fra gli eventuali edifici che la delimitano"
"L’interposizione di un’adeguata distanza di separazione “d” in spazio a cielo libero fra edifici adiacenti ovvero fra edifici e depositi esterni di materiale combustibile, opportunamente valutata sulla base delle indicazioni fornite dalle regole di prevenzioni incendi, consente di limitare la propagazione dell’incendio.","Si, un’adeguata distanza di separazione consente di limitare l’irraggiamento, al di sotto di valori critici, fra il compartimento interessato dall’incendio e altri compartimenti o materiali combustibili in deposito","No, non è necessario valutare tali distanze, qualunque spazio a cielo libero consente di garantire la limitazione della propagazione dell’incendio","No, solo strutture o elementi tagliafuoco (REI, EI …) consente di limitare la propagazione dell’incendio ","Si, un’adeguata distanza di separazione consente di limitare l’irraggiamento, al di sotto di valori critici, fra il compartimento interessato dall’incendio e altri compartimenti o materiali combustibili in deposito"
Nella progettazione della sicurezza antincendio è consentito che si realizzino opere prive di resistenza al fuoco (Livello di prestazione I ai sensi del DM 03/08/2015),"No, mai","Si, a condizione che l’attività non preveda la presenza di occupanti, ad esclusione di quella occasionale e di breve durata di personale addetto","Si, sempre","Si, a condizione che l’attività non preveda la presenza di occupanti, ad esclusione di quella occasionale e di breve durata di personale addetto"
"Le “Classi”, cioè l’intervallo di tempo nel quale è garantito il requisito di resistenza al fuoco del prodotto\elemento costruttivo","Sono codificati dalle disposizioni legislative in materia (ES: elementi portanti privi di funzione di compartimento R 15,20,30, 45, 60 ….)  ",Sono codificati da progettista della prevenzione incendi,Sono codificati dal Comando VVF competente territorialmente,"Sono codificati dalle disposizioni legislative in materia (ES: elementi portanti privi di funzione di compartimento R 15,20,30, 45, 60 ….)  "
Con “carico di incendio” intendiamo:,"potenziale termico netto della totalità dei materiali combustibili contenuti in uno spazio, corretto in base ai parametri indicativi della partecipazione alla combustione dei singoli materiali, espresso in MJ","potenziale termico netto della totalità dei materiali combustibili contenuti in uno spazio riferito all’unità di superficie lorda di piano, espresso in MJ/m2","potenziale termico netto della totalità dei materiali combustibili contenuti in uno spazio riferito all’unità di superficie lorda di piano (MJ/m2), corretto in base ai parametri indicatori del rischio di incendio del compartimento antincendio e dei fattori relativi alle misure antincendio presenti","potenziale termico netto della totalità dei materiali combustibili contenuti in uno spazio, corretto in base ai parametri indicativi della partecipazione alla combustione dei singoli materiali, espresso in MJ"
